Pre-monsoon_2015 (meters below ground level),Pre-monsoon_2016 (meters below ground level),Pre-monsoon_2017 (meters below ground level),Pre-monsoon_2018 (meters below ground level),Pre-monsoon_2019 (meters below ground level),Pre-monsoon_2020 (meters below ground level),Pre-monsoon_2021 (meters below ground level),Pre-monsoon_2022 (meters below ground level),Label
10.9,9.2,9.1,9.4,9.8,8.8,8.9,10.7,0
24.6,24.1,23.73,21.46,27.98,29.62,28.94,15.1,0
98.0,106.5,113.0,117.6,125.6,131.6,103.8,43.6,1
115.78,117.53,118.46,117.5,110.83,122.94,122.98,123.27,1
5.9,11.6,6.7,11.6,11.2,3.0,4.7,3.5,0
79.4,86.3,79.65,81.7,80.0,78.5,78.4,76.85,1
24.7,24.0,26.05,17.6,25.5,26.9,25.6,25.4,1
6.0,7.75,6.35,10.4,7.8,4.7,5.2,5.55,0
13.2,13.2,9.5,9.6,12.0,12.4,11.2,9.8,0
30.48,33.53,34.9,35.8,38.04,38.1,38.5,38.5,1
19.5,18.72,24.5,7.92,6.05,3.3,4.3,4.0,0
4.39,7.7,6.59,8.5,8.8,8.4,9.06,6.4,0
15.4,14.6,14.5,13.5,16.5,14.5,13.85,13.5,0
8.7,11.6,9.85,9.4,10.2,7.5,8.2,7.2,0
6.39,4.25,6.05,6.25,5.09,6.12,7.2,7.75,0
8.7,7.9,9.9,6.5,13.1,8.0,12.2,11.8,0
9.5,9.8,9.5,9.5,9.5,6.8,6.9,7.0,0
21.82,24.33,24.5,25.1,24.5,25.0,26.5,26.9,1
7.0,8.0,8.65,9.85,9.83,10.16,10.8,10.95,0
13.4,11.4,10.5,9.5,12.6,11.2,10.0,10.5,0
26.3,33.8,26.0,49.4,33.55,10.65,7.3,4.9,0
6.2,6.75,6.55,6.48,7.35,7.2,7.25,7.7,0
144.8,150.6,152.7,157.3,158.3,155.9,157.6,156.3,1
36.0,40.1,38.0,36.9,40.2,41.0,39.2,37.5,1
14.62,6.18,10.8,12.0,9.2,5.74,8.35,9.65,0
42.1,46.1,50.1,54.2,54.4,56.9,57.6,59.0,1
7.6,6.0,4.35,4.6,6.4,3.8,5.5,7.1,0
22.5,18.0,18.7,20.5,21.53,18.91,21.45,19.3,0
